"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xe60c5bdc53f13a135bde4c9c092a6eb5247254a2df1ad2b81765ef9dbb0a1c10","4271565","1505356236","9/14/2017 2:30:36 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","3696.9"
"0x8a6d65aea9eca062237cbd24ead3829187677625391f1707fe09cdfe2de82c08","4271478","1505353944","9/14/2017 1:52:24 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","50052.9"
"0x7191583877abb1c81fe95b012e3233f60a8359d0bc94874cc25bfdbcaca0786a","4269420","1505303979","9/13/2017 11:59:39 AM","0x274d27307237e6e297c0d37d060c3f2ab2d41b45","0xad3c895c3678e77884366cd891b0984acd214775","27999"
"0x5e9133e78fef3be1dbcc0d8a2cd436c9b3929570d5d0ccbc2d257a61c6862167","4269053","1505295305","9/13/2017 9:35:05 AM","0x350aa3eb8d610aeb7f2217e15ef5e53b72691281","0xad3c895c3678e77884366cd891b0984acd214775","17131.5795"
"0x0472561fd1692a0df1b41205b6ff435aaca64d0216fd6a52734da87caf13648c","4269033","1505294818","9/13/2017 9:26:58 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","2034"
"0x3316e2efb658d1aca6d69eecbfff30bc653c8d063c699747fcebbdf0b9006c38","4268999","1505293888","9/13/2017 9:11:28 AM","0x5fbbd8435933842523ae3d086fa215b0c33816f0","0xad3c895c3678e77884366cd891b0984acd214775","89599.8999"
"0xaf3b7077e12088b67b632a575bd48cdc9be0b50f9c7d9a8c307a49120f0c74f5","4268664","1505285803","9/13/2017 6:56:43 AM","0x40926cfefaaf932b7bc811fdc4eb136ae35c585a","0xad3c895c3678e77884366cd891b0984acd214775","5583.1003"
"0xac99689c8cf68f6dbc83f7e7d527950d9cedbe1b8859525b7f9a427a2aeb16a8","4268391","1505279189","9/13/2017 5:06:29 AM","0x7e493fe9c18a5fd4441e9b617143f656cbf49176","0xad3c895c3678e77884366cd891b0984acd214775","41997.9"
"0xc314687276ccae5477fc8ab7b7ec1a00e8bbbb23b5b60ec872911e025a8f183c","4268302","1505276799","9/13/2017 4:26:39 AM","0x2621db747735de1e34a748861a2473effb91e6ab","0xad3c895c3678e77884366cd891b0984acd214775","36000"
"0x6b9b20a525ba3255cef15e231cc91bd2367e85f5382a9dc5c5be14fdf1fde76b","4268300","1505276784","9/13/2017 4:26:24 AM","0x7707bb4b78d26ae65c73dfe32831bc2088820ea5","0xad3c895c3678e77884366cd891b0984acd214775","5598.8"
"0x38308f62631ae442bde2a9e13231acb0bc00e0e28b46c31c3aaab174a1dee7d9","4267889","1505266863","9/13/2017 1:41:03 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","29998"
"0xd115258b943e4ec8fc137ad815f65a120f36384f58ca9d7dbca3ca6ee8992798","4266402","1505230812","9/12/2017 3:40:12 PM","0x23cac1941af42c3fae10638debf44ad6cff2acb2","0xad3c895c3678e77884366cd891b0984acd214775","323040"
"0xbe36e4f4bca492e207dee2eb2b5d97b7edc0281e537888dc06d2a4d4901d8603","4266254","1505226879","9/12/2017 2:34:39 PM","0xb4c02dfc07408d6983cd253007b524b0da820f5b","0xad3c895c3678e77884366cd891b0984acd214775","1138.9"
"0x8789a80e824eefad5a0da64789b84940a75efb74267cde88faf9f91811f34e24","4265630","1505212134","9/12/2017 10:28:54 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","5698.9"
"0x74dd601cfd19a8a26ce938aa9ac6689dc0de80ca5e4d4f32bc1be3e0edb96b4a","4265363","1505205534","9/12/2017 8:38:54 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","3160.5"
"0x41ea400c56d665958f6458746d16b47d3fcd3a3555654cba877dfe0e99f9e375","4265293","1505203780","9/12/2017 8:09:40 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","1398.9"
"0xed685219bf5a7bf0f4f6b5e64181a1f663abfbe3648846a42f6a67f8365e2b7b","4265272","1505203262","9/12/2017 8:01:02 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","3522.6072"
"0x3263ca0c99fea1616e86847ffd3ef33c062997e1273ccabb3e15d851e02eaca5","4265155","1505200582","9/12/2017 7:16:22 AM","0xc779fc590379466c59255b3aeb311d24dbd3e1cc","0xad3c895c3678e77884366cd891b0984acd214775","5806.53"
"0x1aa7214ca9c52d61dda9b7593ab6d6dd6789a1e5c23b712c46ff7ae8545385f9","4265111","1505199413","9/12/2017 6:56:53 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","12504"
"0x966d24c96fd3c68efeb5b2dd83e463559d3ccf9cd729cfa8cac0f3454d34ed3d","4265024","1505197526","9/12/2017 6:25:26 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","1987"
"0x209abae951d6151e31bc6bcbb694a5d958ba1058cd9b92e5acd7f9c39750f29e","4264901","1505194456","9/12/2017 5:34:16 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","10144"
"0xa6155ca64cf7aeea3341c2a9094759467343057ca2b3bbbee2333fed8f184510","4264764","1505191068","9/12/2017 4:37:48 AM","0xdfc156374811eb0c829dd3ac23fc7ecdbea6cc07","0xad3c895c3678e77884366cd891b0984acd214775","111328"
"0x6efe8ed4d7d4a06b514b3ac568a2a4c0bfe5903ebe5835008e9cf3b57272c575","4264753","1505190877","9/12/2017 4:34:37 AM","0xd1427bfbfdca05fedb2eb83e83c2edace2228054","0xad3c895c3678e77884366cd891b0984acd214775","26000"
"0x8b8886d8b1f7b591554b38e903bc9fa77353e2537d688a002e6f1edc26325cff","4264384","1505181645","9/12/2017 2:00:45 AM","0xcc539790167b46503652239664f2a30a2d279917","0xad3c895c3678e77884366cd891b0984acd214775","22798"
"0x1c22c9568f4eba085070a021561d8d46b169cf4369b779b2d2dd3b2eaebd0ac8","4264262","1505178638","9/12/2017 1:10:38 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","29998.9"
"0x79dcb6c98eedee2de3fc5ddbbb71aed99728acb610ff5d9fc7e21fbaceee3eb5","4263864","1505169503","9/11/2017 10:38:23 PM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","142010.4"
"0x241eb1c66b6fbf839285daba6f54e417736de0f676f2a479cf50b820fe6ca51a","4263319","1505156440","9/11/2017 7:00:40 PM","0x653d8ebccd17e29e1e028d1442e53bfab3852846","0xad3c895c3678e77884366cd891b0984acd214775","1017851.2"
"0x3f8b4996f885943bb365381cadb6539e48d04ccebb2652f6da0de060114c34c2","4262841","1505144921","9/11/2017 3:48:41 PM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","29998.9"
"0x1b19fead0d6f92f1a8727dfd2f00aaaea89b3d5cd12afadbfacf8aa3a0568565","4262806","1505144008","9/11/2017 3:33:28 PM","0x1fb08e4a3406fb8f2040a7147155fff698bd12d1","0xad3c895c3678e77884366cd891b0984acd214775","51390"
"0xa202f4a3f5d1e471cf5e60e73da11a82274961a60ee0010b937b02d12b817d05","4262763","1505142957","9/11/2017 3:15:57 PM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","45782.9"
"0x216fc720924bf06951b64ebb196bde74f2936b8ec6a465aaac84162b2d34fe10","4262456","1505136611","9/11/2017 1:30:11 PM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","5598"
"0xfa00626f45d7a4d12bd43ea26699093b976b6178050a99765ecb1c87ad7b8437","4262409","1505135153","9/11/2017 1:05:53 PM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","45335.44416"
